Var_1,Var_2,Var_3,Var_4,Var_5_Class_1,Var_5_Class_2,Var_5_Class_3,Var_5_Class_4,Var_5_Class_5,Var_5_Class_6,Var_5_Class_7,Var_5_Class_8,Var_6_Class_1,Var_6_Class_2,Var_6_Class_3,Var_6_Class_4,Var_6_Class_5,Var_6_Class_6,Var_6_Class_7,Var_6_Class_8,Var_6_Class_9,Var_6_Class_10,Var_6_Class_11,Var_6_Class_12,Var_7,Var_8,Var_9,Var_10,Var_11,Var_12,Var_13,Input_Data_Set_3
46,1.75,15,6.75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-4.314158302,28.19704852,9,0.0
12,3.255464481,18,4.430836889,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,1,-2.87319434,27.22663481,6,0.0
22,2.5,29,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38.66868736,44.13776778,4,0.0
26,1.228142077,22,7.271857923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24.98962623,28.68113407,2,0.0
46,1.75,15,6.75,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-4.314158302,28.19704852,9,0.0
16,2.636612022,30,5.863387978,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,24.98962623,28.68113407,3,0.0
20,1.403005464,16,7.096994536,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-4.314158302,28.19704852,9,0.0
15,2.06147541,3,6.43852459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,38.66868736,44.13776778,4,0.0
23,1.583333333,20,6.916666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,-4.314158302,28.19704852,8,0.0
25,2.62431694,8,5.87568306,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,48.6452683,15.18330444,7,0.0
16,1.898907104,7,6.601092896,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-4.314158302,28.19704852,8,0.0
27,3.103825137,13,5.396174863,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,58.22886566,61.64409704,4,0.0
20,2.56420765,23,5.705655363,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-2.87319434,27.22663481,6,0.0
7,2.040983607,2,6.308331462,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-4.314158302,28.19704852,9,0.0
7,2.203551913,8,5.833434389,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,38.66868736,44.13776778,5,0.0
23,1.239071038,11,7.260928962,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,24.98962623,28.68113407,2,0.0
19,3.066939891,22,4.723471068,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,48.6452683,15.18330444,7,0.0
20,1.607923497,9,6.892076503,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,38.66868736,44.13776778,5,0.0
13,5.327868852,34,3.172131148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,38.66868736,44.13776778,4,0.0
30,2.430327869,16,6.036795419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,-4.314158302,28.19704852,8,0.0
20,1.620218579,76,6.879781421,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,58.22886566,61.64409704,4,0.0
18,1.183060109,21,7.316939891,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,-4.314158302,28.19704852,9,0.0
20,1.620218579,76,6.879781421,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,58.22886566,61.64409704,4,0.0
18,1.618852459,53,6.881147541,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15.13377057,16.39518222,2,0.0
18,1.661202186,0,6.696332061,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,92.35642679,60.2751737,8,0.0
16,2.975409836,0,5.138288794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,-4.314158302,28.19704852,8,0.0
22,4.371584699,32,-0.010928962,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,6,1,0,-4.314158302,28.19704852,9,0.0
23,1.088797814,6,7.411202186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,58.22886566,61.64409704,3,0.0
41,1.655737705,7,6.844262295,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,48.6452683,15.18330444,7,0.0
41,2.62431694,40,5.349655663,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.66868736,44.13776778,5,0.0
